year,section,characteristic,income_group,estimate_raw,estimate,flag,estimate_log
2013,External Building Conditions,Bars on windows,"$20,000 to $29,999",391,391.0,ok,5.971261839790462
2013,External Building Conditions,Bars on windows,"$30,000 to $39,999",297,297.0,ok,5.697093486505405
2013,External Building Conditions,Bars on windows,"$40,000 to $49,999",238,238.0,ok,5.476463551931511
2013,External Building Conditions,Bars on windows,"$50,000 to $59,999",222,222.0,ok,5.407171771460119
2013,External Building Conditions,Bars on windows,"$60,000 to $79,999",283,283.0,ok,5.648974238161206
2013,External Building Conditions,Bars on windows,"$80,000 to $99,999",212,212.0,ok,5.3612921657094255
2013,External Building Conditions,Bars on windows,"Less than $10,000",379,379.0,ok,5.940171252720432
2013,External Building Conditions,Boarded up windows,"$10,000 to $19,999",122,122.0,ok,4.812184355372417
2013,External Building Conditions,Boarded up windows,"$100,000 to $119,999",29,29.0,ok,3.4011973816621555
2013,External Building Conditions,Boarded up windows,"$120,000 or more",28,28.0,ok,3.367295829986474
2013,External Building Conditions,Boarded up windows,"$20,000 to $29,999",111,111.0,ok,4.718498871295094
2013,External Building Conditions,Boarded up windows,"$30,000 to $39,999",80,80.0,ok,4.394449154672439
2013,External Building Conditions,Boarded up windows,"$40,000 to $49,999",59,59.0,ok,4.0943445622221
2013,External Building Conditions,Boarded up windows,"$50,000 to $59,999",23,23.0,ok,3.1780538303479458
2013,External Building Conditions,Boarded up windows,"$60,000 to $79,999",106,106.0,ok,4.672828834461906
2013,External Building Conditions,Boarded up windows,"$80,000 to $99,999",67,67.0,ok,4.219507705176107
2013,External Building Conditions,Boarded up windows,"Less than $10,000",127,127.0,ok,4.852030263919617
2013,External Building Conditions,Broken windows,"$10,000 to $19,999",441,441.0,ok,6.091309882077698
2013,External Building Conditions,Broken windows,"$100,000 to $119,999",87,87.0,ok,4.477336814478207
2013,External Building Conditions,Broken windows,"$120,000 or more",260,260.0,ok,5.564520407322694
2013,External Building Conditions,Broken windows,"$20,000 to $29,999",448,448.0,ok,6.1070228877422545
2013,External Building Conditions,Broken windows,"$30,000 to $39,999",339,339.0,ok,5.8289456176102075
2013,External Building Conditions,Broken windows,"$40,000 to $49,999",272,272.0,ok,5.60947179518496
2013,External Building Conditions,Broken windows,"$50,000 to $59,999",195,195.0,ok,5.278114659230518
2013,External Building Conditions,Broken windows,"$60,000 to $79,999",323,323.0,ok,5.780743515792329
2013,External Building Conditions,Broken windows,"$80,000 to $99,999",199,199.0,ok,5.298317366548036
2013,External Building Conditions,Broken windows,"Less than $10,000",369,369.0,ok,5.91350300563827
2013,External Building Conditions,Foundation crumbling or has open crack or hole,"$10,000 to $19,999",407,407.0,ok,6.0112671744041615
2013,External Building Conditions,Foundation crumbling or has open crack or hole,"$100,000 to $119,999",227,227.0,ok,5.429345628954441
2013,External Building Conditions,Foundation crumbling or has open crack or hole,"$120,000 or more",369,369.0,ok,5.91350300563827
2013,External Building Conditions,Foundation crumbling or has open crack or hole,"$20,000 to $29,999",434,434.0,ok,6.075346031088684
2013,External Building Conditions,Foundation crumbling or has open crack or hole,"$30,000 to $39,999",348,348.0,ok,5.855071922202427
2013,External Building Conditions,Foundation crumbling or has open crack or hole,"$40,000 to $49,999",294,294.0,ok,5.68697535633982
2013,External Building Conditions,Foundation crumbling or has open crack or hole,"$50,000 to $59,999",301,301.0,ok,5.71042701737487
2013,External Building Conditions,Foundation crumbling or has open crack or hole,"$60,000 to $79,999",462,462.0,ok,6.137727054086234
2013,External Building Conditions,Foundation crumbling or has open crack or hole,"$80,000 to $99,999",274,274.0,ok,5.616771097666572
2013,External Building Conditions,Foundation crumbling or has open crack or hole,"Less than $10,000",330,330.0,ok,5.802118375377063
2013,External Building Conditions,Hole in roof,"$10,000 to $19,999",176,176.0,ok,5.176149732573829
2013,External Building Conditions,Hole in roof,"$100,000 to $119,999",30,30.0,ok,3.4339872044851463
2013,External Building Conditions,Hole in roof,"$120,000 or more",83,83.0,ok,4.430816798843313
2013,External Building Conditions,Hole in roof,"$20,000 to $29,999",128,128.0,ok,4.859812404361672
2013,External Building Conditions,Hole in roof,"$30,000 to $39,999",91,91.0,ok,4.5217885770490405
2013,External Building Conditions,Hole in roof,"$40,000 to $49,999",79,79.0,ok,4.382026634673881
2013,External Building Conditions,Hole in roof,"$50,000 to $59,999",58,58.0,ok,4.07753744390572
2013,External Building Conditions,Hole in roof,"$60,000 to $79,999",96,96.0,ok,4.574710978503383
2013,External Building Conditions,Hole in roof,"$80,000 to $99,999",63,63.0,ok,4.1588830833596715
2013,External Building Conditions,Hole in roof,"Less than $10,000",207,207.0,ok,5.337538079701318
2013,External Building Conditions,"Missing bricks, siding, or other outside wall material","$10,000 to $19,999",266,266.0,ok,5.58724865840025
2013,External Building Conditions,"Missing bricks, siding, or other outside wall material","$100,000 to $119,999",91,91.0,ok,4.5217885770490405
2013,External Building Conditions,"Missing bricks, siding, or other outside wall material","$120,000 or more",199,199.0,ok,5.298317366548036
2013,External Building Conditions,"Missing bricks, siding, or other outside wall material","$20,000 to $29,999",227,227.0,ok,5.429345628954441
2013,External Building Conditions,"Missing bricks, siding, or other outside wall material","$30,000 to $39,999",253,253.0,ok,5.537334267018537
2013,External Building Conditions,"Missing bricks, siding, or other outside wall material","$40,000 to $49,999",162,162.0,ok,5.093750200806762
2013,External Building Conditions,"Missing bricks, siding, or other outside wall material","$50,000 to $59,999",143,143.0,ok,4.969813299576001
2013,External Building Conditions,"Missing bricks, siding, or other outside wall material","$60,000 to $79,999",199,199.0,ok,5.298317366548036
2013,External Building Conditions,"Missing bricks, siding, or other outside wall material","$80,000 to $99,999",151,151.0,ok,5.0238805208462765
2013,External Building Conditions,"Missing bricks, siding, or other outside wall material","Less than $10,000",192,192.0,ok,5.262690188904886
2013,External Building Conditions,Missing roofing material,"$10,000 to $19,999",355,355.0,ok,5.87493073085203
2013,External Building Conditions,Missing roofing material,"$100,000 to $119,999",139,139.0,ok,4.941642422609304
2013,External Building Conditions,Missing roofing material,"$120,000 or more",345,345.0,ok,5.846438775057724
2013,External Building Conditions,Missing roofing material,"$20,000 to $29,999",356,356.0,ok,5.877735781779639
2013,External Building Conditions,Missing roofing material,"$30,000 to $39,999",313,313.0,ok,5.749392985908253
2013,External Building Conditions,Missing roofing material,"$40,000 to $49,999",242,242.0,ok,5.493061443340548
2013,External Building Conditions,Missing roofing material,"$50,000 to $59,999",205,205.0,ok,5.327876168789581
2013,External Building Conditions,Missing roofing material,"$60,000 to $79,999",393,393.0,ok,5.976350909297934
2013,External Building Conditions,Missing roofing material,"$80,000 to $99,999",226,226.0,ok,5.424950017481403
2013,External Building Conditions,Missing roofing material,"Less than $10,000",294,294.0,ok,5.68697535633982
2013,External Building Conditions,None of the above,"$10,000 to $19,999","5,998",5998.0,ok,8.699348067653093
2013,External Building Conditions,None of the above,"$100,000 to $119,999","5,579",5579.0,ok,8.626944055375356
2013,External Building Conditions,None of the above,"$120,000 or more","13,373",13373.0,ok,9.501067802613925
2013,External Building Conditions,None of the above,"$20,000 to $29,999","8,005",8005.0,ok,8.987946539552519
2013,External Building Conditions,None of the above,"$30,000 to $39,999","6,725",6725.0,ok,8.813735892300215
2013,External Building Conditions,None of the above,"$40,000 to $49,999","6,444",6444.0,ok,8.771059915373288
2013,External Building Conditions,None of the above,"$50,000 to $59,999","5,682",5682.0,ok,8.645234541297121
2013,External Building Conditions,None of the above,"$60,000 to $79,999","9,910",9910.0,ok,9.201400530406708
2013,External Building Conditions,None of the above,"$80,000 to $99,999","7,347",7347.0,ok,8.902183446335016
2013,External Building Conditions,None of the above,"Less than $10,000","4,846",4846.0,ok,8.486115235845377
2013,External Building Conditions,Not reported,"$10,000 to $19,999",34,34.0,ok,3.5553480614894135
2013,External Building Conditions,Not reported,"$100,000 to $119,999",23,23.0,ok,3.1780538303479458
2013,External Building Conditions,Not reported,"$120,000 or more",34,34.0,ok,3.5553480614894135
2013,External Building Conditions,Not reported,"$20,000 to $29,999",40,40.0,ok,3.713572066704308
2013,External Building Conditions,Not reported,"$30,000 to $39,999",28,28.0,ok,3.367295829986474
2013,External Building Conditions,Not reported,"$40,000 to $49,999",29,29.0,ok,3.4011973816621555
2013,External Building Conditions,Not reported,"$50,000 to $59,999",27,27.0,ok,3.332204510175204
2013,External Building Conditions,Not reported,"$60,000 to $79,999",34,34.0,ok,3.5553480614894135
2013,External Building Conditions,Not reported,"$80,000 to $99,999",22,22.0,ok,3.1354942159291497
2013,External Building Conditions,Not reported,"Less than $10,000",38,38.0,ok,3.6635616461296463
2013,External Building Conditions,Sagging roof,"$10,000 to $19,999",260,260.0,ok,5.564520407322694
2013,External Building Conditions,Sagging roof,"$100,000 to $119,999",60,60.0,ok,4.110873864173311
2013,External Building Conditions,Sagging roof,"$120,000 or more",125,125.0,ok,4.836281906951478
2013,External Building Conditions,Sagging roof,"$20,000 to $29,999",230,230.0,ok,5.442417710521793
2013,External Building Conditions,Sagging roof,"$30,000 to $39,999",167,167.0,ok,5.123963979403259
2013,External Building Conditions,Sagging roof,"$40,000 to $49,999",79,79.0,ok,4.382026634673881
2013,External Building Conditions,Sagging roof,"$50,000 to $59,999",120,120.0,ok,4.795790545596741
2013,External Building Conditions,Sagging roof,"$60,000 to $79,999",166,166.0,ok,5.117993812416755
2013,External Building Conditions,Sagging roof,"$80,000 to $99,999",85,85.0,ok,4.454347296253507
2013,External Building Conditions,Sagging roof,"Less than $10,000",195,195.0,ok,5.278114659230518
2013,External Building Conditions,Sloping outside walls,"$10,000 to $19,999",150,150.0,ok,5.017279836814924
2013,External Building Conditions,Sloping outside walls,"$100,000 to $119,999",33,33.0,ok,3.5263605246161616
2013,External Building Conditions,Sloping outside walls,"$120,000 or more",56,56.0,ok,4.04305126783455
2013,External Building Conditions,Sloping outside walls,"$20,000 to $29,999",104,104.0,ok,4.653960350157523
2013,External Building Conditions,Sloping outside walls,"$30,000 to $39,999",90,90.0,ok,4.51085950651685
2013,External Building Conditions,Sloping outside walls,"$40,000 to $49,999",75,75.0,ok,4.330733340286331
2013,External Building Conditions,Sloping outside walls,"$50,000 to $59,999",59,59.0,ok,4.0943445622221
2013,External Building Conditions,Sloping outside walls,"$60,000 to $79,999",80,80.0,ok,4.394449154672439
2013,External Building Conditions,Sloping outside walls,"$80,000 to $99,999",59,59.0,ok,4.0943445622221
2013,External Building Conditions,Sloping outside walls,"Less than $10,000",152,152.0,ok,5.030437921392435
2013,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$10,000 to $19,999",73,73.0,ok,4.304065093204169
2013,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$100,000 to $119,999",17,17.0,ok,2.8903717578961645
2013,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$120,000 or more",38,38.0,ok,3.6635616461296463
2013,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$20,000 to $29,999",64,64.0,ok,4.174387269895637
2013,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$30,000 to $39,999",51,51.0,ok,3.9512437185814275
2013,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$40,000 to $49,999",27,27.0,ok,3.332204510175204
2013,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$50,000 to $59,999",21,21.0,ok,3.091042453358316
2013,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$60,000 to $79,999",39,39.0,ok,3.6888794541139363
2013,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$80,000 to $99,999",28,28.0,ok,3.367295829986474
2013,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"Less than $10,000",83,83.0,ok,4.430816798843313
2013,Flush Toilet Breakdowns,None working some time in last 3 months,"$10,000 to $19,999",306,306.0,ok,5.726847747587197
2013,Flush Toilet Breakdowns,None working some time in last 3 months,"$100,000 to $119,999",75,75.0,ok,4.330733340286331
2013,Flush Toilet Breakdowns,None working some time in last 3 months,"$120,000 or more",122,122.0,ok,4.812184355372417
2013,Flush Toilet Breakdowns,None working some time in last 3 months,"$20,000 to $29,999",306,306.0,ok,5.726847747587197
2013,Flush Toilet Breakdowns,None working some time in last 3 months,"$30,000 to $39,999",188,188.0,ok,5.241747015059643
2013,Flush Toilet Breakdowns,None working some time in last 3 months,"$40,000 to $49,999",189,189.0,ok,5.247024072160486
2013,Flush Toilet Breakdowns,None working some time in last 3 months,"$50,000 to $59,999",90,90.0,ok,4.51085950651685
2013,Flush Toilet Breakdowns,None working some time in last 3 months,"$60,000 to $79,999",186,186.0,ok,5.231108616854587
2013,Flush Toilet Breakdowns,None working some time in last 3 months,"$80,000 to $99,999",97,97.0,ok,4.584967478670572
2013,Flush Toilet Breakdowns,None working some time in last 3 months,"Less than $10,000",312,312.0,ok,5.746203190540153
2013,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$10,000 to $19,999","11,841",11841.0,ok,9.37940781309172
2013,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$100,000 to $119,999","7,005",7005.0,ok,8.854522203757432
2013,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$120,000 or more","16,238",16238.0,ok,9.695171035465087
2013,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$20,000 to $29,999","13,492",13492.0,ok,9.509926311430787
2013,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$30,000 to $39,999","11,170",11170.0,ok,9.321076413570848
2013,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$40,000 to $49,999","9,871",9871.0,ok,9.197457746145169
2013,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$50,000 to $59,999","8,424",8424.0,ok,9.038958755220563
2013,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$60,000 to $79,999","13,940",13940.0,ok,9.542589417753089
2013,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$80,000 to $99,999","9,815",9815.0,ok,9.191768986390747
2013,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"Less than $10,000","10,842",10842.0,ok,9.291274989472182
2013,Flush Toilet Breakdowns,With one or more flush toilets,"$10,000 to $19,999","12,261",12261.0,ok,9.414260328322634
2013,Flush Toilet Breakdowns,With one or more flush toilets,"$100,000 to $119,999","7,153",7153.0,ok,8.875426919818963
2013,Flush Toilet Breakdowns,With one or more flush toilets,"$120,000 or more","16,492",16492.0,ok,9.710691327448153
2013,Flush Toilet Breakdowns,With one or more flush toilets,"$20,000 to $29,999","13,953",13953.0,ok,9.543521484499182
2013,Flush Toilet Breakdowns,With one or more flush toilets,"$30,000 to $39,999","11,471",11471.0,ok,9.347664562839402
2013,Flush Toilet Breakdowns,With one or more flush toilets,"$40,000 to $49,999","10,208",10208.0,ok,9.231024963169016
2013,Flush Toilet Breakdowns,With one or more flush toilets,"$50,000 to $59,999","8,571",8571.0,ok,9.056256356593467
2013,Flush Toilet Breakdowns,With one or more flush toilets,"$60,000 to $79,999","14,271",14271.0,ok,9.566054854819791
2013,Flush Toilet Breakdowns,With one or more flush toilets,"$80,000 to $99,999","10,006",10006.0,ok,9.211040127090456
2013,Flush Toilet Breakdowns,With one or more flush toilets,"Less than $10,000","11,372",11372.0,ok,9.338997404184445
2013,Heating Problems,Equipment breakdowns,"$10,000 to $19,999",267,267.0,ok,5.5909869805108565
2013,Heating Problems,Equipment breakdowns,"$100,000 to $119,999",117,117.0,ok,4.770684624465665
2013,Heating Problems,Equipment breakdowns,"$120,000 or more",261,261.0,ok,5.568344503761097
2013,Heating Problems,Equipment breakdowns,"$20,000 to $29,999",324,324.0,ok,5.783825182329737
2013,Heating Problems,Equipment breakdowns,"$30,000 to $39,999",235,235.0,ok,5.4638318050256105
2013,Heating Problems,Equipment breakdowns,"$40,000 to $49,999",215,215.0,ok,5.375278407684165
2013,Heating Problems,Equipment breakdowns,"$50,000 to $59,999",182,182.0,ok,5.209486152841421
2013,Heating Problems,Equipment breakdowns,"$60,000 to $79,999",205,205.0,ok,5.327876168789581
2013,Heating Problems,Equipment breakdowns,"$80,000 to $99,999",154,154.0,ok,5.043425116919247
2013,Heating Problems,Equipment breakdowns,"Less than $10,000",340,340.0,ok,5.831882477283517
2013,Heating Problems,No breakdowns lasting 6 hours or more,"$10,000 to $19,999",4,4.0,ok,1.6094379124341003
2013,Heating Problems,No breakdowns lasting 6 hours or more,"$100,000 to $119,999",3,3.0,ok,1.3862943611198906
2013,Heating Problems,No breakdowns lasting 6 hours or more,"$120,000 or more",2,2.0,ok,1.0986122886681096
2013,Heating Problems,No breakdowns lasting 6 hours or more,"$20,000 to $29,999",3,3.0,ok,1.3862943611198906
2013,Heating Problems,No breakdowns lasting 6 hours or more,"$30,000 to $39,999",3,3.0,ok,1.3862943611198906
2013,Heating Problems,No breakdowns lasting 6 hours or more,"$40,000 to $49,999",7,7.0,ok,2.0794415416798357
2013,Heating Problems,No breakdowns lasting 6 hours or more,"$50,000 to $59,999",2,2.0,ok,1.0986122886681096
2013,Heating Problems,No breakdowns lasting 6 hours or more,"$60,000 to $79,999",7,7.0,ok,2.0794415416798357
2013,Heating Problems,No breakdowns lasting 6 hours or more,"$80,000 to $99,999",2,2.0,ok,1.0986122886681096
2013,Heating Problems,No breakdowns lasting 6 hours or more,"Less than $10,000",10,10.0,ok,2.3978952727983707
2013,Heating Problems,Not uncomfortably cold for 24 hours or more,"$10,000 to $19,999","10,328",10328.0,ok,9.242710752006634
2013,Heating Problems,Not uncomfortably cold for 24 hours or more,"$100,000 to $119,999","6,291",6291.0,ok,8.747034264178168
2013,Heating Problems,Not uncomfortably cold for 24 hours or more,"$120,000 or more","14,650",14650.0,ok,9.592263871501313
2013,Heating Problems,Not uncomfortably cold for 24 hours or more,"$20,000 to $29,999","11,749",11749.0,ok,9.371608519572305
2013,Heating Problems,Not uncomfortably cold for 24 hours or more,"$30,000 to $39,999","9,797",9797.0,ok,9.18993356219852
2013,Heating Problems,Not uncomfortably cold for 24 hours or more,"$40,000 to $49,999","8,670",8670.0,ok,9.06773940337716
2013,Heating Problems,Not uncomfortably cold for 24 hours or more,"$50,000 to $59,999","7,501",7501.0,ok,8.922924930641832
2013,Heating Problems,Not uncomfortably cold for 24 hours or more,"$60,000 to $79,999","12,606",12606.0,ok,9.44200749423127
2013,Heating Problems,Not uncomfortably cold for 24 hours or more,"$80,000 to $99,999","8,812",8812.0,ok,9.08398318309966
2013,Heating Problems,Not uncomfortably cold for 24 hours or more,"Less than $10,000","9,141",9141.0,ok,9.12063445889169
2013,Heating Problems,Uncomfortably cold for 24 hours or more,"$10,000 to $19,999",908,908.0,ok,6.812345094177479
2013,Heating Problems,Uncomfortably cold for 24 hours or more,"$100,000 to $119,999",457,457.0,ok,6.126869184114185
2013,Heating Problems,Uncomfortably cold for 24 hours or more,"$120,000 or more","1,108",1108.0,ok,7.011213987350367
2013,Heating Problems,Uncomfortably cold for 24 hours or more,"$20,000 to $29,999","1,037",1037.0,ok,6.945051063725834
2013,Heating Problems,Uncomfortably cold for 24 hours or more,"$30,000 to $39,999",790,790.0,ok,6.673297967767654
2013,Heating Problems,Uncomfortably cold for 24 hours or more,"$40,000 to $49,999",661,661.0,ok,6.495265555937008
2013,Heating Problems,Uncomfortably cold for 24 hours or more,"$50,000 to $59,999",537,537.0,ok,6.2878585601617845
2013,Heating Problems,Uncomfortably cold for 24 hours or more,"$60,000 to $79,999",755,755.0,ok,6.628041376179533
2013,Heating Problems,Uncomfortably cold for 24 hours or more,"$80,000 to $99,999",640,640.0,ok,6.46302945692067
2013,Heating Problems,Uncomfortably cold for 24 hours or more,"Less than $10,000",985,985.0,ok,6.893656354602635
2013,Heating Problems,With heating equipment and occupied last winter,"$10,000 to $19,999","11,535",11535.0,ok,9.353227859524731
2013,Heating Problems,With heating equipment and occupied last winter,"$100,000 to $119,999","6,875",6875.0,ok,8.83579236650274
2013,Heating Problems,With heating equipment and occupied last winter,"$120,000 or more","16,025",16025.0,ok,9.681967682338016
2013,Heating Problems,With heating equipment and occupied last winter,"$20,000 to $29,999","13,115",13115.0,ok,9.48158813796454
2013,Heating Problems,With heating equipment and occupied last winter,"$30,000 to $39,999","10,821",10821.0,ok,9.28933637820268
2013,Heating Problems,With heating equipment and occupied last winter,"$40,000 to $49,999","9,570",9570.0,ok,9.166492972195906
2013,Heating Problems,With heating equipment and occupied last winter,"$50,000 to $59,999","8,208",8208.0,ok,9.012986392348266
2013,Heating Problems,With heating equipment and occupied last winter,"$60,000 to $79,999","13,664",13664.0,ok,9.522593098362169
2013,Heating Problems,With heating equipment and occupied last winter,"$80,000 to $99,999","9,636",9636.0,ok,9.173365135851288
2013,Heating Problems,With heating equipment and occupied last winter,"Less than $10,000","10,515",10515.0,ok,9.260653185849772
2013,Number of breakdowns that lasted 6 hours or more:,1,"$10,000 to $19,999",133,133.0,ok,4.897839799950911
2013,Number of breakdowns that lasted 6 hours or more:,1,"$100,000 to $119,999",43,43.0,ok,3.784189633918261
2013,Number of breakdowns that lasted 6 hours or more:,1,"$120,000 or more",64,64.0,ok,4.174387269895637
2013,Number of breakdowns that lasted 6 hours or more:,1,"$20,000 to $29,999",140,140.0,ok,4.948759890378168
2013,Number of breakdowns that lasted 6 hours or more:,1,"$30,000 to $39,999",91,91.0,ok,4.5217885770490405
2013,Number of breakdowns that lasted 6 hours or more:,1,"$40,000 to $49,999",107,107.0,ok,4.68213122712422
2013,Number of breakdowns that lasted 6 hours or more:,1,"$50,000 to $59,999",49,49.0,ok,3.912023005428146
2013,Number of breakdowns that lasted 6 hours or more:,1,"$60,000 to $79,999",108,108.0,ok,4.6913478822291435
2013,Number of breakdowns that lasted 6 hours or more:,1,"$80,000 to $99,999",45,45.0,ok,3.828641396489095
2013,Number of breakdowns that lasted 6 hours or more:,1,"Less than $10,000",144,144.0,ok,4.976733742420574
2013,Number of breakdowns that lasted 6 hours or more:,2,"$10,000 to $19,999",49,49.0,ok,3.912023005428146
2013,Number of breakdowns that lasted 6 hours or more:,2,"$100,000 to $119,999",3,3.0,ok,1.3862943611198906
2013,Number of breakdowns that lasted 6 hours or more:,2,"$120,000 or more",9,9.0,ok,2.302585092994046
2013,Number of breakdowns that lasted 6 hours or more:,2,"$20,000 to $29,999",39,39.0,ok,3.6888794541139363
2013,Number of breakdowns that lasted 6 hours or more:,2,"$30,000 to $39,999",27,27.0,ok,3.332204510175204
2013,Number of breakdowns that lasted 6 hours or more:,2,"$40,000 to $49,999",27,27.0,ok,3.332204510175204
2013,Number of breakdowns that lasted 6 hours or more:,2,"$50,000 to $59,999",12,12.0,ok,2.5649493574615367
2013,Number of breakdowns that lasted 6 hours or more:,2,"$60,000 to $79,999",19,19.0,ok,2.995732273553991
2013,Number of breakdowns that lasted 6 hours or more:,2,"$80,000 to $99,999",14,14.0,ok,2.70805020110221
2013,Number of breakdowns that lasted 6 hours or more:,2,"Less than $10,000",40,40.0,ok,3.713572066704308
2013,Number of breakdowns that lasted 6 hours or more:,3,"$10,000 to $19,999",19,19.0,ok,2.995732273553991
2013,Number of breakdowns that lasted 6 hours or more:,3,"$100,000 to $119,999",6,6.0,ok,1.9459101490553132
2013,Number of breakdowns that lasted 6 hours or more:,3,"$120,000 or more",4,4.0,ok,1.6094379124341003
2013,Number of breakdowns that lasted 6 hours or more:,3,"$20,000 to $29,999",11,11.0,ok,2.4849066497880004
2013,Number of breakdowns that lasted 6 hours or more:,3,"$30,000 to $39,999",9,9.0,ok,2.302585092994046
2013,Number of breakdowns that lasted 6 hours or more:,3,"$40,000 to $49,999",7,7.0,ok,2.0794415416798357
2013,Number of breakdowns that lasted 6 hours or more:,3,"$50,000 to $59,999",2,2.0,ok,1.0986122886681096
2013,Number of breakdowns that lasted 6 hours or more:,3,"$60,000 to $79,999",7,7.0,ok,2.0794415416798357
2013,Number of breakdowns that lasted 6 hours or more:,3,"$80,000 to $99,999",5,5.0,ok,1.791759469228055
2013,Number of breakdowns that lasted 6 hours or more:,3,"Less than $10,000",14,14.0,ok,2.70805020110221
2013,Number of breakdowns that lasted 6 hours or more:,4 or more,"$10,000 to $19,999",31,31.0,ok,3.4657359027997265
2013,Number of breakdowns that lasted 6 hours or more:,4 or more,"$100,000 to $119,999",7,7.0,ok,2.0794415416798357
2013,Number of breakdowns that lasted 6 hours or more:,4 or more,"$120,000 or more",7,7.0,ok,2.0794415416798357
2013,Number of breakdowns that lasted 6 hours or more:,4 or more,"$20,000 to $29,999",50,50.0,ok,3.9318256327243257
2013,Number of breakdowns that lasted 6 hours or more:,4 or more,"$30,000 to $39,999",8,8.0,ok,2.1972245773362196
2013,Number of breakdowns that lasted 6 hours or more:,4 or more,"$40,000 to $49,999",15,15.0,ok,2.772588722239781
2013,Number of breakdowns that lasted 6 hours or more:,4 or more,"$50,000 to $59,999",1,1.0,ok,0.6931471805599453
2013,Number of breakdowns that lasted 6 hours or more:,4 or more,"$60,000 to $79,999",10,10.0,ok,2.3978952727983707
2013,Number of breakdowns that lasted 6 hours or more:,4 or more,"$80,000 to $99,999",6,6.0,ok,1.9459101490553132
2013,Number of breakdowns that lasted 6 hours or more:,4 or more,"Less than $10,000",26,26.0,ok,3.295836866004329
2013,Number of breakdowns that lasted 6 hours or more:,Breakdowns not reported,"$10,000 to $19,999",114,114.0,ok,4.74493212836325
2013,Number of breakdowns that lasted 6 hours or more:,Breakdowns not reported,"$100,000 to $119,999",73,73.0,ok,4.304065093204169
2013,Number of breakdowns that lasted 6 hours or more:,Breakdowns not reported,"$120,000 or more",132,132.0,ok,4.890349128221754
2013,Number of breakdowns that lasted 6 hours or more:,Breakdowns not reported,"$20,000 to $29,999",155,155.0,ok,5.049856007249537
2013,Number of breakdowns that lasted 6 hours or more:,Breakdowns not reported,"$30,000 to $39,999",113,113.0,ok,4.736198448394496
2013,Number of breakdowns that lasted 6 hours or more:,Breakdowns not reported,"$40,000 to $49,999",148,148.0,ok,5.003946305945459
2013,Number of breakdowns that lasted 6 hours or more:,Breakdowns not reported,"$50,000 to $59,999",57,57.0,ok,4.060443010546419
2013,Number of breakdowns that lasted 6 hours or more:,Breakdowns not reported,"$60,000 to $79,999",145,145.0,ok,4.983606621708336
2013,Number of breakdowns that lasted 6 hours or more:,Breakdowns not reported,"$80,000 to $99,999",93,93.0,ok,4.543294782270004
2013,Number of breakdowns that lasted 6 hours or more:,Breakdowns not reported,"Less than $10,000",218,218.0,ok,5.389071729816501
2013,Number of breakdowns that lasted 6 hours or more:,Cost of heating,"$10,000 to $19,999",91,91.0,ok,4.5217885770490405
2013,Number of breakdowns that lasted 6 hours or more:,Cost of heating,"$100,000 to $119,999",29,29.0,ok,3.4011973816621555
2013,Number of breakdowns that lasted 6 hours or more:,Cost of heating,"$120,000 or more",50,50.0,ok,3.9318256327243257
2013,Number of breakdowns that lasted 6 hours or more:,Cost of heating,"$20,000 to $29,999",94,94.0,ok,4.553876891600541
2013,Number of breakdowns that lasted 6 hours or more:,Cost of heating,"$30,000 to $39,999",71,71.0,ok,4.276666119016055
2013,Number of breakdowns that lasted 6 hours or more:,Cost of heating,"$40,000 to $49,999",67,67.0,ok,4.219507705176107
2013,Number of breakdowns that lasted 6 hours or more:,Cost of heating,"$50,000 to $59,999",55,55.0,ok,4.02535169073515
2013,Number of breakdowns that lasted 6 hours or more:,Cost of heating,"$60,000 to $79,999",80,80.0,ok,4.394449154672439
2013,Number of breakdowns that lasted 6 hours or more:,Cost of heating,"$80,000 to $99,999",35,35.0,ok,3.58351893845611
2013,Number of breakdowns that lasted 6 hours or more:,Cost of heating,"Less than $10,000",115,115.0,ok,4.7535901911063645
2013,Number of breakdowns that lasted 6 hours or more:,Discomfort not reported,"$10,000 to $19,999",299,299.0,ok,5.703782474656201
